"id","dwerk","kondm","kondmt","ktgrm","ktgrmt","matnr","mvgr1","mvgr2","mvgr3","vkorg","vtweg","createddate","is_active","modifieddate"
2946,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","IO","2023-10-30 16:08:39.379834",True,"2023-10-30 16:08:39.379887"
2947,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","ST","2023-10-30 16:08:39.385565",True,"2023-10-30 16:08:39.385611"
2948,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","ST","2023-10-30 16:08:39.390355",True,"2023-10-30 16:08:39.390399"
2949,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","IO","2023-10-30 16:08:39.395257",True,"2023-10-30 16:08:39.395306"
2950,"","07","BASE OILS","AD","Additives","AI06020","","","","3100","ST","2023-10-30 16:08:39.400682",True,"2023-10-30 16:08:39.400738"
2951,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","ST","2023-10-30 16:08:39.405663",True,"2023-10-30 16:08:39.405718"
2952,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","IO","2023-10-30 16:08:39.41148",True,"2023-10-30 16:08:39.411586"
2953,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","ST","2023-10-30 16:08:39.416111",True,"2023-10-30 16:08:39.416165"
2954,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","IO","2023-10-30 16:08:39.420748",True,"2023-10-30 16:08:39.420793"
2955,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","IO","2023-10-30 16:08:39.425025",True,"2023-10-30 16:08:39.425067"
2956,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","ST","2023-10-30 16:08:39.429698",True,"2023-10-30 16:08:39.429749"
2957,"","07","BASE OILS","AD","Additives","AI55578","","","","1100","ST","2023-10-30 16:08:39.434106",True,"2023-10-30 16:08:39.434145"
2958,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","IO","2023-10-30 16:08:39.438461",True,"2023-10-30 16:08:39.438502"
2959,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","RE","2023-10-30 16:08:39.443187",True,"2023-10-30 16:08:39.443239"
2960,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","ST","2023-10-30 16:08:39.448297",True,"2023-10-30 16:08:39.448343"
2961,"","07","BASE OILS","AD","Additives","AI55578","","","","3209","ST","2023-10-30 16:08:39.453674",True,"2023-10-30 16:08:39.453749"
2962,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","ST","2023-10-30 16:08:39.458686",True,"2023-10-30 16:08:39.45873"
2963,"","07","BASE OILS","AD","Additives","AI55578","","","","4100","ST","2023-10-30 16:08:39.46406",True,"2023-10-30 16:08:39.464121"
2964,"","07","BASE OILS","AD","Additives","AI55580","","","","1100","ST","2023-10-30 16:08:39.468878",True,"2023-10-30 16:08:39.468918"
2965,"","07","BASE OILS","AD","Additives","AI55580","","","","2100","ST","2023-10-30 16:08:39.474403",True,"2023-10-30 16:08:39.474449"
2966,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","RE","2023-10-30 16:08:39.479222",True,"2023-10-30 16:08:39.479264"
2967,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","IO","2023-10-30 16:08:39.483746",True,"2023-10-30 16:08:39.483789"
2968,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","IO","2023-10-30 16:08:39.48832",True,"2023-10-30 16:08:39.488373"
2969,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","ST","2023-10-30 16:08:39.493031",True,"2023-10-30 16:08:39.493077"
2970,"","07","BASE OILS","AD","Additives","AI55580","","","","3209","ST","2023-10-30 16:08:39.498644",True,"2023-10-30 16:08:39.498703"
2971,"","07","BASE OILS","AD","Additives","AI55580","","","","4100","ST","2023-10-30 16:08:39.50527",True,"2023-10-30 16:08:39.505348"
2972,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","ST","2023-10-30 16:08:39.510867",True,"2023-10-30 16:08:39.510913"
3121,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","IO","2023-10-30 20:00:02.233716",True,"2023-10-30 20:00:02.233795"
3122,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","ST","2023-10-30 20:00:02.241768",True,"2023-10-30 20:00:02.241822"
3123,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","ST","2023-10-30 20:00:02.246643",True,"2023-10-30 20:00:02.246684"
3124,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","IO","2023-10-30 20:00:02.251078",True,"2023-10-30 20:00:02.25112"
3125,"","07","BASE OILS","AD","Additives","AI06020","","","","3100","ST","2023-10-30 20:00:02.255817",True,"2023-10-30 20:00:02.255864"
3126,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","ST","2023-10-30 20:00:02.262188",True,"2023-10-30 20:00:02.262246"
3127,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","IO","2023-10-30 20:00:02.268404",True,"2023-10-30 20:00:02.268475"
3128,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","ST","2023-10-30 20:00:02.273024",True,"2023-10-30 20:00:02.273067"
3129,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","IO","2023-10-30 20:00:02.278563",True,"2023-10-30 20:00:02.278607"
3130,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","IO","2023-10-30 20:00:02.283063",True,"2023-10-30 20:00:02.283105"
3131,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","ST","2023-10-30 20:00:02.287562",True,"2023-10-30 20:00:02.287618"
3132,"","07","BASE OILS","AD","Additives","AI55578","","","","1100","ST","2023-10-30 20:00:02.292285",True,"2023-10-30 20:00:02.292326"
3133,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","IO","2023-10-30 20:00:02.296984",True,"2023-10-30 20:00:02.297026"
3134,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","RE","2023-10-30 20:00:02.302709",True,"2023-10-30 20:00:02.302764"
3135,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","ST","2023-10-30 20:00:02.308304",True,"2023-10-30 20:00:02.308351"
3136,"","07","BASE OILS","AD","Additives","AI55578","","","","3209","ST","2023-10-30 20:00:02.31526",True,"2023-10-30 20:00:02.315315"
3137,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","ST","2023-10-30 20:00:02.322787",True,"2023-10-30 20:00:02.322843"
3138,"","07","BASE OILS","AD","Additives","AI55578","","","","4100","ST","2023-10-30 20:00:02.328598",True,"2023-10-30 20:00:02.328645"
3139,"","07","BASE OILS","AD","Additives","AI55580","","","","1100","ST","2023-10-30 20:00:02.333414",True,"2023-10-30 20:00:02.333459"
3140,"","07","BASE OILS","AD","Additives","AI55580","","","","2100","ST","2023-10-30 20:00:02.337823",True,"2023-10-30 20:00:02.337869"
3141,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","RE","2023-10-30 20:00:02.34233",True,"2023-10-30 20:00:02.342376"
3142,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","IO","2023-10-30 20:00:02.347582",True,"2023-10-30 20:00:02.347629"
3143,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","IO","2023-10-30 20:00:02.352019",True,"2023-10-30 20:00:02.352063"
3144,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","ST","2023-10-30 20:00:02.35667",True,"2023-10-30 20:00:02.356753"
3145,"","07","BASE OILS","AD","Additives","AI55580","","","","3209","ST","2023-10-30 20:00:02.361479",True,"2023-10-30 20:00:02.361578"
3146,"","07","BASE OILS","AD","Additives","AI55580","","","","4100","ST","2023-10-30 20:00:02.367999",True,"2023-10-30 20:00:02.368046"
3147,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","ST","2023-10-30 20:00:02.372504",True,"2023-10-30 20:00:02.372549"
73503,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","IO","2023-11-01 09:00:05.887158",True,"2023-11-01 09:00:05.88716"
73504,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","ST","2023-11-01 09:00:05.889896",True,"2023-11-01 09:00:05.889898"
73505,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","ST","2023-11-01 09:00:05.8919",True,"2023-11-01 09:00:05.891901"
73506,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","IO","2023-11-01 09:00:05.89411",True,"2023-11-01 09:00:05.894112"
73507,"","07","BASE OILS","AD","Additives","AI06020","","","","3100","ST","2023-11-01 09:00:05.897012",True,"2023-11-01 09:00:05.897014"
73508,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","ST","2023-11-01 09:00:05.899631",True,"2023-11-01 09:00:05.899633"
73509,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","IO","2023-11-01 09:00:05.90163",True,"2023-11-01 09:00:05.901631"
73510,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","ST","2023-11-01 09:00:05.903502",True,"2023-11-01 09:00:05.903504"
73511,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","IO","2023-11-01 09:00:05.905598",True,"2023-11-01 09:00:05.9056"
73512,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","IO","2023-11-01 09:00:05.907636",True,"2023-11-01 09:00:05.907638"
73513,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","ST","2023-11-01 09:00:05.909598",True,"2023-11-01 09:00:05.909599"
73514,"","07","BASE OILS","AD","Additives","AI55578","","","","1100","ST","2023-11-01 09:00:05.911407",True,"2023-11-01 09:00:05.911408"
73515,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","IO","2023-11-01 09:00:05.913386",True,"2023-11-01 09:00:05.913388"
73516,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","RE","2023-11-01 09:00:05.915474",True,"2023-11-01 09:00:05.915476"
73517,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","ST","2023-11-01 09:00:05.917956",True,"2023-11-01 09:00:05.917957"
73518,"","07","BASE OILS","AD","Additives","AI55578","","","","3209","ST","2023-11-01 09:00:05.919929",True,"2023-11-01 09:00:05.919931"
73519,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","ST","2023-11-01 09:00:05.922028",True,"2023-11-01 09:00:05.922029"
73520,"","07","BASE OILS","AD","Additives","AI55578","","","","4100","ST","2023-11-01 09:00:05.924143",True,"2023-11-01 09:00:05.924145"
73521,"","07","BASE OILS","AD","Additives","AI55580","","","","1100","ST","2023-11-01 09:00:05.926182",True,"2023-11-01 09:00:05.926183"
73522,"","07","BASE OILS","AD","Additives","AI55580","","","","2100","ST","2023-11-01 09:00:05.928137",True,"2023-11-01 09:00:05.928139"
73523,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","RE","2023-11-01 09:00:05.930228",True,"2023-11-01 09:00:05.930229"
73524,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","IO","2023-11-01 09:00:05.93235",True,"2023-11-01 09:00:05.932351"
73525,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","IO","2023-11-01 09:00:05.935284",True,"2023-11-01 09:00:05.935287"
73526,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","ST","2023-11-01 09:00:05.937807",True,"2023-11-01 09:00:05.937809"
73527,"","07","BASE OILS","AD","Additives","AI55580","","","","3209","ST","2023-11-01 09:00:05.939725",True,"2023-11-01 09:00:05.939727"
73528,"","07","BASE OILS","AD","Additives","AI55580","","","","4100","ST","2023-11-01 09:00:05.942182",True,"2023-11-01 09:00:05.942184"
73529,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","ST","2023-11-01 09:00:05.944416",True,"2023-11-01 09:00:05.944418"
76478,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","IO","2023-11-01 09:04:25.463852",True,"2023-11-01 09:04:25.463854"
76479,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","ST","2023-11-01 09:04:25.465939",True,"2023-11-01 09:04:25.46594"
76480,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","ST","2023-11-01 09:04:25.46752",True,"2023-11-01 09:04:25.467521"
76481,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","IO","2023-11-01 09:04:25.469114",True,"2023-11-01 09:04:25.469115"
76482,"","07","BASE OILS","AD","Additives","AI06020","","","","3100","ST","2023-11-01 09:04:25.470689",True,"2023-11-01 09:04:25.47069"
76483,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","ST","2023-11-01 09:04:25.472431",True,"2023-11-01 09:04:25.472432"
76484,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","IO","2023-11-01 09:04:25.474241",True,"2023-11-01 09:04:25.474243"
76485,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","ST","2023-11-01 09:04:25.47598",True,"2023-11-01 09:04:25.475982"
76486,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","IO","2023-11-01 09:04:25.477775",True,"2023-11-01 09:04:25.477778"
76487,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","IO","2023-11-01 09:04:25.479505",True,"2023-11-01 09:04:25.479507"
76488,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","ST","2023-11-01 09:04:25.481669",True,"2023-11-01 09:04:25.481671"
76489,"","07","BASE OILS","AD","Additives","AI55578","","","","1100","ST","2023-11-01 09:04:25.483676",True,"2023-11-01 09:04:25.483679"
76490,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","IO","2023-11-01 09:04:25.485477",True,"2023-11-01 09:04:25.485478"
76491,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","RE","2023-11-01 09:04:25.487103",True,"2023-11-01 09:04:25.487104"
76492,"","07","BASE OILS","AD","Additives","AI55578","","","","3200","ST","2023-11-01 09:04:25.488656",True,"2023-11-01 09:04:25.488658"
76493,"","07","BASE OILS","AD","Additives","AI55578","","","","3209","ST","2023-11-01 09:04:25.490552",True,"2023-11-01 09:04:25.490554"
76494,"","07","BASE OILS","AD","Additives","AI55578","","","","0100","ST","2023-11-01 09:04:25.492155",True,"2023-11-01 09:04:25.492156"
76495,"","07","BASE OILS","AD","Additives","AI55578","","","","4100","ST","2023-11-01 09:04:25.493886",True,"2023-11-01 09:04:25.493887"
76496,"","07","BASE OILS","AD","Additives","AI55580","","","","1100","ST","2023-11-01 09:04:25.49599",True,"2023-11-01 09:04:25.495993"
76497,"","07","BASE OILS","AD","Additives","AI55580","","","","2100","ST","2023-11-01 09:04:25.498097",True,"2023-11-01 09:04:25.498099"
76498,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","RE","2023-11-01 09:04:25.49978",True,"2023-11-01 09:04:25.499782"
76499,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","IO","2023-11-01 09:04:25.501479",True,"2023-11-01 09:04:25.50148"
76500,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","IO","2023-11-01 09:04:25.503094",True,"2023-11-01 09:04:25.503095"
76501,"","07","BASE OILS","AD","Additives","AI55580","","","","3200","ST","2023-11-01 09:04:25.504812",True,"2023-11-01 09:04:25.504814"
76502,"","07","BASE OILS","AD","Additives","AI55580","","","","3209","ST","2023-11-01 09:04:25.506736",True,"2023-11-01 09:04:25.506738"
76503,"","07","BASE OILS","AD","Additives","AI55580","","","","4100","ST","2023-11-01 09:04:25.508669",True,"2023-11-01 09:04:25.508671"
76504,"","07","BASE OILS","AD","Additives","AI55580","","","","0100","ST","2023-11-01 09:04:25.510358",True,"2023-11-01 09:04:25.510359"
294633,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","IO","2023-11-02 15:16:09.360649",True,"2023-11-02 15:16:09.360713"
294634,"","07","BASE OILS","AD","Additives","AI06020","","","","4100","ST","2023-11-02 15:16:09.36561",True,"2023-11-02 15:16:09.365654"
294635,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","ST","2023-11-02 15:16:09.370082",True,"2023-11-02 15:16:09.370134"
294636,"","07","BASE OILS","AD","Additives","AI06020","","","","3200","IO","2023-11-02 15:16:09.374479",True,"2023-11-02 15:16:09.374526"
294637,"","07","BASE OILS","AD","Additives","AI06020","","","","3100","ST","2023-11-02 15:16:09.378961",True,"2023-11-02 15:16:09.379012"
294638,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","ST","2023-11-02 15:16:09.383922",True,"2023-11-02 15:16:09.383979"
294639,"","07","BASE OILS","AD","Additives","AI06020","","","","2100","IO","2023-11-02 15:16:09.389282",True,"2023-11-02 15:16:09.389403"
294640,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","ST","2023-11-02 15:16:09.393825",True,"2023-11-02 15:16:09.393866"
294641,"","07","BASE OILS","AD","Additives","AI06020","","","","1100","IO","2023-11-02 15:16:09.397918",True,"2023-11-02 15:16:09.39797"
294642,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","IO","2023-11-02 15:16:09.402492",True,"2023-11-02 15:16:09.402534"
294643,"","07","BASE OILS","AD","Additives","AI06020","","","","0100","ST","2023-11-02 15:16:09.406625",True,"2023-11-02 15:16:09.406675"
