"id","bism","brgew","ersda","ferth","groes","laeda","maktx","matnr","meins","normt","ntgew","tragr","wrkst","createddate","is_active","modifieddate"
674269,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-30 17:32:33.948579",True,"2023-11-30 17:32:33.948617"
674268,NULL,"0","2018-12-20","","","2023-10-19","CATTRAP-50","8808511341","FT3","","0","0001",NULL,"2023-11-30 17:32:33.946033",True,"2023-11-30 17:32:33.946062"
674267,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,16M^3/H","8199150514","EA","","0","0001",NULL,"2023-11-30 17:32:33.943356",True,"2023-11-30 17:32:33.943393"
674266,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,6M^3/HR","8199150494","EA","","0","0001",NULL,"2023-11-30 17:32:33.940639",True,"2023-11-30 17:32:33.940662"
674265,NULL,"0","2020-01-20","","","2023-10-25","2.5 SCMH METER REGULATOR","8199150444","EA","","0","0001",NULL,"2023-11-30 17:32:33.938332",True,"2023-11-30 17:32:33.938365"
674264,NULL,"0","2011-06-27","","","2023-10-16","CABLE POWER  AL 3.5CX50SQ.MM XLPE ARM","7732143054","M","","0","0001",NULL,"2023-11-30 17:32:33.935971",True,"2023-11-30 17:32:33.93599"
674263,NULL,"1260.000","2016-05-30","","","2023-10-16","VLV,B.FLY,MOV,A216 WCB,34IN,150","4821244134","EA","","0","",NULL,"2023-11-30 17:32:33.933308",True,"2023-11-30 17:32:33.933326"
674262,NULL,"0","2009-07-03","","","2023-10-12","FL, SP, BL, AS, A-182 F-11, 10IN, 900","4547184414","EA","","0","",NULL,"2023-11-30 17:32:33.930736",True,"2023-11-30 17:32:33.930755"
674261,NULL,"0","2021-11-24","","","2023-10-16","COMPRESSION SLEEVE,P/N:116350000","1598057171","EA","","0","",NULL,"2023-11-30 17:32:33.928246",True,"2023-11-30 17:32:33.928266"
674260,NULL,"0","2023-10-13","","","0000-00-00","UNBOTTLED T-SHIRT","0899010019","EA","","0","0001",NULL,"2023-11-30 17:32:33.925436",True,"2023-11-30 17:32:33.925463"
674259,NULL,"0","2023-10-05","","","2023-10-06","UNBOTTLED T-SHIRT","0899010014","EA","","0","0001",NULL,"2023-11-30 17:32:33.910866",True,"2023-11-30 17:32:33.910918"
521421,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-29 14:22:27.26103",True,"2023-11-29 14:22:27.261062"
521420,NULL,"0","2018-12-20","","","2023-10-19","CATTRAP-50","8808511341","FT3","","0","0001",NULL,"2023-11-29 14:22:27.258696",True,"2023-11-29 14:22:27.258717"
521419,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,16M^3/H","8199150514","EA","","0","0001",NULL,"2023-11-29 14:22:27.256358",True,"2023-11-29 14:22:27.256395"
521418,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,6M^3/HR","8199150494","EA","","0","0001",NULL,"2023-11-29 14:22:27.254063",True,"2023-11-29 14:22:27.254082"
521417,NULL,"0","2020-01-20","","","2023-10-25","2.5 SCMH METER REGULATOR","8199150444","EA","","0","0001",NULL,"2023-11-29 14:22:27.251556",True,"2023-11-29 14:22:27.251592"
521416,NULL,"0","2011-06-27","","","2023-10-16","CABLE POWER  AL 3.5CX50SQ.MM XLPE ARM","7732143054","M","","0","0001",NULL,"2023-11-29 14:22:27.249147",True,"2023-11-29 14:22:27.249171"
521415,NULL,"1260.000","2016-05-30","","","2023-10-16","VLV,B.FLY,MOV,A216 WCB,34IN,150","4821244134","EA","","0","",NULL,"2023-11-29 14:22:27.246206",True,"2023-11-29 14:22:27.246228"
521414,NULL,"0","2009-07-03","","","2023-10-12","FL, SP, BL, AS, A-182 F-11, 10IN, 900","4547184414","EA","","0","",NULL,"2023-11-29 14:22:27.243639",True,"2023-11-29 14:22:27.243657"
521413,NULL,"0","2021-11-24","","","2023-10-16","COMPRESSION SLEEVE,P/N:116350000","1598057171","EA","","0","",NULL,"2023-11-29 14:22:27.240981",True,"2023-11-29 14:22:27.240999"
521412,NULL,"0","2023-10-13","","","0000-00-00","UNBOTTLED T-SHIRT","0899010019","EA","","0","0001",NULL,"2023-11-29 14:22:27.238044",True,"2023-11-29 14:22:27.238071"
521411,NULL,"0","2023-10-05","","","2023-10-06","UNBOTTLED T-SHIRT","0899010014","EA","","0","0001",NULL,"2023-11-29 14:22:27.221587",True,"2023-11-29 14:22:27.221631"
520220,NULL,"0","2003-06-02","","","2023-10-30","CORROSION INHIBITOR DORF-1440","8814090164","KG","","0","0001",NULL,"2023-11-29 13:25:11.47134",True,"2023-11-29 13:25:11.471359"
520219,NULL,"0","2018-12-20","","","2023-10-19","CATTRAP-50","8808511341","FT3","","0","0001",NULL,"2023-11-29 13:25:11.469138",True,"2023-11-29 13:25:11.469156"
520218,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,16M^3/H","8199150514","EA","","0","0001",NULL,"2023-11-29 13:25:11.466997",True,"2023-11-29 13:25:11.467023"
520217,NULL,"0","2021-06-19","","","2023-10-25","REGULATOR 1-6 KG/CM^2 TO 300MBAR,6M^3/HR","8199150494","EA","","0","0001",NULL,"2023-11-29 13:25:11.464828",True,"2023-11-29 13:25:11.464845"
520216,NULL,"0","2020-01-20","","","2023-10-25","2.5 SCMH METER REGULATOR","8199150444","EA","","0","0001",NULL,"2023-11-29 13:25:11.462596",True,"2023-11-29 13:25:11.46263"
520215,NULL,"0","2011-06-27","","","2023-10-16","CABLE POWER  AL 3.5CX50SQ.MM XLPE ARM","7732143054","M","","0","0001",NULL,"2023-11-29 13:25:11.460349",True,"2023-11-29 13:25:11.460366"
